id,date,route_id,origin,destination,cargo_type,freight_rate_usd_per_ton,bunker_fuel_price_usd,cargo_demand_index,vessel_availability_index,port_congestion_days,created_at,target_rate_30d,rate_lag_1,rate_lag_7,rate_lag_14,rate_roll_7_mean,rate_roll_14_mean,rate_roll_7_std,demand_vessel_ratio,fuel_price_lag_1,month,month_sin,month_cos
1,2024-09-09,1,"Paradip, India","Qingdao, China",Iron Ore,43.35,617.16,108.6,85.5,2.9,2026-09-09 06:56:12.007816+00:00,36.92,,,,,,,1.2701752900379777,,9,-1.0,-1.8369701987210297e-16
2,2024-09-10,1,"Paradip, India","Qingdao, China",Iron Ore,38.91,613.58,102.7,113.1,4.1,2026-09-09 06:56:12.007816+00:00,42.03,43.35,,,,,,0.9080458967245008,617.16,9,-1.0,-1.8369701987210297e-16
3,2024-09-11,1,"Paradip, India","Qingdao, China",Iron Ore,44.64,609.68,112.3,88.6,3.2,2026-09-09 06:56:12.007816+00:00,37.98,38.91,,,,,,1.2674942136011045,613.58,9,-1.0,-1.8369701987210297e-16
4,2024-09-12,1,"Paradip, India","Qingdao, China",Iron Ore,42.05,611.22,92.3,99.4,4.2,2026-09-09 06:56:12.007816+00:00,38.92,44.64,,,,,,0.9285713351537891,609.68,9,-1.0,-1.8369701987210297e-16
5,2024-09-13,1,"Paradip, India","Qingdao, China",Iron Ore,42.37,607.63,107.9,112.2,4.3,2026-09-09 06:56:12.007816+00:00,42.26,42.05,,,,,,0.9616754936118098,611.22,9,-1.0,-1.8369701987210297e-16
6,2024-09-14,1,"Paradip, India","Qingdao, China",Iron Ore,41.18,603.73,109.7,93.8,1.4,2026-09-09 06:56:12.007816+00:00,37.12,42.37,,,,,,1.169509470201549,607.63,9,-1.0,-1.8369701987210297e-16
7,2024-09-15,1,"Paradip, India","Qingdao, China",Iron Ore,41.8,604.51,105.0,94.6,4.0,2026-09-09 06:56:12.007816+00:00,38.67,41.18,,,42.042857142857144,,1.7878824932091628,1.109936457723419,603.73,9,-1.0,-1.8369701987210297e-16
8,2024-09-16,1,"Paradip, India","Qingdao, China",Iron Ore,42.73,600.99,99.2,90.7,2.5,2026-09-09 06:56:12.007816+00:00,40.04,41.8,43.35,,41.95428571428572,,1.7266427650487632,1.0937154251691923,604.51,9,-1.0,-1.8369701987210297e-16
9,2024-09-17,1,"Paradip, India","Qingdao, China",Iron Ore,39.97,603.02,95.7,90.5,1.4,2026-09-09 06:56:12.007816+00:00,39.14,42.73,38.91,,42.105714285714285,,1.4374150078393861,1.0574584466896744,600.99,9,-1.0,-1.8369701987210297e-16
10,2024-09-18,1,"Paradip, India","Qingdao, China",Iron Ore,39.39,604.92,102.5,108.9,4.4,2026-09-09 06:56:12.007816+00:00,39.42,39.97,44.64,,41.355714285714285,,1.252462336664016,0.9412304002543249,603.02,9,-1.0,-1.8369701987210297e-16
11,2024-09-19,1,"Paradip, India","Qingdao, China",Iron Ore,39.83,605.36,102.7,109.6,3.8,2026-09-09 06:56:12.007816+00:00,42.79,39.39,42.05,,41.03857142857142,,1.3262532258387154,0.9370437101237491,604.92,9,-1.0,-1.8369701987210297e-16
12,2024-09-20,1,"Paradip, India","Qingdao, China",Iron Ore,44.37,608.34,103.9,95.8,5.3,2026-09-09 06:56:12.007816+00:00,41.89,39.83,42.37,,41.324285714285715,,1.7938771524536512,1.0845510350155496,605.36,9,-1.0,-1.8369701987210297e-16
13,2024-09-21,1,"Paradip, India","Qingdao, China",Iron Ore,41.08,608.58,105.9,107.0,4.4,2026-09-09 06:56:12.007816+00:00,39.32,44.37,41.18,,41.309999999999995,,1.7956150292680542,0.9897195336710717,608.34,9,-1.0,-1.8369701987210297e-16
14,2024-09-22,1,"Paradip, India","Qingdao, China",Iron Ore,41.24,612.72,107.7,100.4,4.1,2026-09-09 06:56:12.007816+00:00,43.84,41.08,41.8,,41.230000000000004,41.63642857142857,1.7825730466566154,1.072709056503082,608.58,9,-1.0,-1.8369701987210297e-16
